//バトルアニメ自動配色 GBA ushort PALETTE LITTLEENDIAN  
//自軍色	敵	NPC	Gray
5FBD	6BBE	6F9E	03DE
3ADA	4F18	52B8	3A7B
0910	45ED	7ECD	04D0
08AC	3529	7145	0CCB
11B3	35D1	35D1	04EF
14E8	14A5	018F	A9
7B70	4AFF	4BF9	6AF7
7B4A	25FF	1BE7	62B5
7622	1D	0F40	4DEF
5963	0416	0E41	3149
04FA	04FA	324E	39F1
0C90	0C90	2549	2929
7798	5B1C	5378	5EF7
6EF3	423D	4F71	56B5
5E50	3199	36AF	4631
3D69	18D1	2168	2D6B
011C	011C	234D	4A52
0876	0876	126C	318C
0C6F	0C6F	0586	18C6
7FB3	1D	2768	5EB4
7A89	0417	22A7	51EF
5562	0410	2207	3D4A
7E2B	153B	0B47	5A93
7332	463F	3FF8	6F38
6105	11	1985	3929
7FF0	225F	3FF8	7359
7EE8	089E	0B47	5EB3
6D65	0476	2648	49AD
3637	737B	327F	1BBF
2171	62D6	091D	1A9E
14EC	49CE	0C92	0531
7FF5	431F	4BF9	737B
7F69	1A3F	1BE7	62B5
7E0A	19	1E84	4DEF
60E7	0410	19C5	3D4A
7EF0	19DF	1BE7	62B5
7587	18	1AC6	45AD
4400	2C	1143	30E7
7FAD	225F	27EA	6F37
68E7	0410	1DE6	3D4A
60C6	086F	19E5	416B
7E6D	1B	0B47	5672
3BFB	7F55	43FF	7EDF
1FAA	7E8E	1F3F	6DFB
0649	696B	1597	5934
7FF6	575F	5BFB	737B
7F8B	1E1F	23E9	5AB5
61AA	0439	2728	4E0F
27F6	6EF5	157F	1BBF
1EB1	562C	0496	1A9E
7F0F	2A1E	1BE7	5AF6
79A8	043A	2728	5230
5484	0410	1DE6	3D4A
22FC	471D	471D	22FC
7E70	2A1E	1BE7	5F17
112D	1D4E	1D4E	112D
7F8E	25FF	1BE7	5F17
7DC8	0439	2728	4E0F
75C8	043A	2728	5230
2EBD	2F1C	3AFC	2EBD
27FF	03FF	53FE	27FF
7F72	0C52	1AA7	3D4A
7FB6	431F	4BF9	777C
7AD1	1E5D	1FC9	62B5
7989	19	1AE7	4DEF
54E8	0410	1DE6	3D4A
7FFB	7FBD	7FFB	7FBD
66F2	66D5	6713	66D5
4E2C	4E0E	4E4C	4E0E
5D44	0C52	0A23	3D2A
7FDE	431F	4BF9	775C
7F39	1E5D	1FC9	6295
6E73	19	1AE7	4DCF
5DEF	0410	1DE6	3D2A
5D28	0410	1DE6	3D4A
59EB	15B6	3271	4A0E
5E8F	2657	36F6	5EB2
