//特性1
01=非表示	ユニットを表示しません
02=移動済み	ユニットは既に行動済みです。\r\n行動済みなのでグレーで表示されます。
03=死亡	ユニットは死亡しています。
04=非出撃	ステージに出撃していません。
05=救出中	他のユニットを救出中です。
06=被救出中	救出されています。
07=騎兵再移動	既に行動済みで、再移動している状態です。\r\n騎兵等の再移動の状態です。
08=屋根の下	屋根の下に隠れているユニットです。\r\n描画されません。
//特性2
11=移動枠の表示	移動できる枠をマップに表示する。\r\nしかしユニットを選択していると消える。
12=非表示通信闘技場	通信闘技場(リンクアリーナ)に表示しません。
13=AI関係	まだ意味が分かっていません
14=アーチ	このユニットは、アーチ(バリスタ)に乗っています
15=アイテムドロップ	このユニットは、最後にもっているアイテムをドロップします。
16=成長率アップ	このユニットは、アフアの滴などで成長率アップ状態にあります。
17=アニメーション1	アニメ設定で個別の設定で、アニメ1が割り当てられました。
18=アニメーション2	アニメ設定で個別の設定で、アニメ2が割り当てられました。
//特性3
21=離脱状態	このユニットはマップから離脱しています。
22=超闘技場1	超闘技場モードと一緒に利用します。
23=超闘技場2	超闘技場モードと一緒に利用します。
24=超闘技場モード	敵がとても強い超闘技場モードになります。
25=謎26
26=前章で不出撃	このユニットは前章に出撃できていません。
27=カットシーンのユニット	このユニットは進撃準備画面かユニット全消去命令が発行されたときに消去されます。
28=第2顔画像	第2顔画像に切り替えます。\r\n顔画像ID+1の画像がステータス画面に表示されます。
//特性4
31=アイコンを揺らす	マップスプライトを激しく揺らします。
32=出撃不可	このユニットは出撃できません。\r\n進撃準備画面で選択不可になります。
33=離別	ユニットはゲームに参加できません。\r\n進撃準備画面にも表示されません。
34=通信闘技場のパレット	通信闘技場(リンクアリーナ)のパレットを利用します。
35=謎35
36=謎36
37=Tequila's Capture
38=7743's Summon
