//midi(Decimal)	midiname	fingerprint
255	Dummy	SQ2d67b32ce7556c9736dab672a0cdd1a1

//Nimap FE8
//midi(Decimal)	midiname	fingerprint
0	大钢琴	ecf854cbd791505ccf7c455f6f90b180
1	直立的钢琴	b24b8f8c47eb2ffaf05d03708a90a8bb
2	电·大钢琴	be1e9e181c70906bf610dcc8feab6a5c
4	电·钢琴2(罗德斯型)	1c527d8a59bd3edaf255390344ac01c2
6	大键琴(大键琴)	196a3bd207cfa7c6d9ca877bbadbc505
8	风琴之音节栓	78be8d70fa9b2e8f81ccdede95bf75ee
10	音乐盒	1d7e32e54b863df5899a5c4c74b1ef22
11	颤音琴	a0ffa4b2e958aab25b9a03dbadecabb5
12	马林巴	215d7df651b0422fec0031b9d277c017
13	木琴	100673381776f52326eb6e6847fff4b8
14	管标签	74efbf0bfdb870fd823c55483588ec50
15	洋琴	5406ebaf2cd01856a437f7ed7f316064
18	电器(锁)	1ee735a527f401b68967006089d66953
19	教会的器官	e84b7ac7f10222e5688ce314ede33c7b
20	主管机关	10be4e00f61e49391e01f85bf6fbe443
21	手风琴	baaa7443fbfa4b50bc219101eded9622
23	探戈手风琴	7681217ec25cde23b3fed09d3b5daa34
24	原始的吉他(尼龙)	67ca844421353175b7b7ad9dfa4a7e61
28	电吉他(静音)	51c47e67fc7a3534abd03ec5ad8c0603
29	电吉他(过载)	82fc415dbc8ce17ef489760e3352dbc7
30	电吉他(失真)	5147a06a0902b522202a6629c7244b2d
31	吉他·共振(Harmonics)	4c2a71b290dcf74d0360de6f6ed5d34d
32	原料基地(木基地)	287d17b15b12ad3a7bd504c22199f12a
33	电低音吉他(手指)	169dc8763a2b46da5e5140026cb6f8d4
34	电贝斯吉他(挑)	169dc8763a2b46da5e5140026cb6f8d4
36	啪嗒低音吉他1	9060cf344e45139d98a7e3e48d7a983f
38	合成器·基地1	7f9101e918a0667117eaaa263daa2414
39	合成器·基地2	c8ed9e6ab524e2e7f18aefbb67e76258
40	小提琴(波音)	5982fbcd78893e405089f4b8c56e40b2
41	中提琴(波音)	325dd5ad1c398073e6377f33c86abca3
42	大提琴(波音)	d80cc4926aed7570908be5523b745c51
45	字符串沥青推车	3b67549fcce8b926b9e4856f607fa404
46	管弦乐·竖琴	bfdf6ac8c6295b9b12fd5c8a742996ce
47	定音鼓	30ab0ba0b1f13378ed34269ab7098a0d
50	SynthStrings 1	8146978088c30bd6671be80be5c4f651
51	SynthStrings 2	4bd74ec8153ef8f70e1411799d100092
