//ver JP EN
00	25
01	26
02	27
03	28
04	29
05	2A
06	2B
07	2C
08	2D
09	90
0A	91
0B	92
0C	93
0D	94
0E	95
0F	96
10	97
11	98
12	99
13	9A
14	9B
15	9C
16	9D
17	9E
18	9F
19	A0
1A	A1
1B	A2
1C	A3
1D	A4
1E	A5
1F	A6
20	A7
21	A8
22	A9
23	AA
24	AB
25	AC
26	AD
27	AE
28	AF
29	B0
2A	B1
2B	B2
2C	B3
2D	B4
2E	B5
2F	B6
30	B7
31	B8
32	B9
33	BA
34	BB
35	BC
36	BD
37	BE
38	BF
39	C0
3A	C1
3B	C2
3C	C3
3D	C4
3E	C5
3F	C6
40	C7
41	C8
42	C9
43	CA
44	CB
45	0775
46	0776
47	0777
48	0778
49	0779
4A	077A
4B	077B
4C	077C
4D	077D
4E	
4F	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
5A	
5B	
5C	
5D	
5E	
5F	
60	
61	CC
62	
63	06A0
64	
65	02C0
66	
67	
68	
69	
6A	
6B	-
6C	-
6D	-
6E	-
6F	-
70	-
71	-
72	-
73	-
74	-
75	-
76	-
77	-
78	-
79	-
7A	-
7B	-
7C	-
7D	-
7E	-
7F	-
80	-
81	-
82	-
83	-
84	-
85	-
86	-
87	-
88	-
89	-
8A	-
8B	-
8C	-
8D	-
8E	-
8F	-
90	-
91	-
92	-
93	-
94	-
95	-
96	-
97	-
98	-
99	-
9A	-
9B	-
9C	-
9D	-
9E	-
9F	-
A0	-
A1	-
A2	-
A3	-
A4	-
A5	-
A6	-
A7	-
A8	-
A9	-
AA	-
AB	-
AC	-
AD	-
AE	-
AF	-
B0	-
B1	-
B2	-
B3	-
B4	-
B5	-
B6	-
B7	-
B8	-
B9	-
BA	-
BB	-
BC	-
BD	-
BE	-
BF	-
C0	-
C1	-
C2	-
C3	-
C4	-
C5	-
C6	-
C7	-
C8	-
C9	-
CA	-
CB	-
CC	-
CD	-
CE	-
CF	-
D0	-
D1	-
D2	-
D3	-
D4	-
D5	-
D6	-
D7	-
D8	-
D9	-
DA	-
DB	-
DC	-
DD	-
DE	-
DF	0157
E0	-
E1	88
E2	0159
E3	015A
E4	0158
E5	
E6	8D
E7	
E8	0160
E9	0161
EA	0162
EB	0163
EC	0164
ED	0165
EE	0166
EF	0167
F0	0168
F1	0169
F2	016A
F3	016B
F4	016C
F5	016D
F6	016E
F7	016F
F8	0170
F9	0171
FA	0172
FB	0173
FC	0174
FD	0175
FE	0176
FF	0177
0100	0178
0101	0179
0102	017A
0103	017B
0104	017C
0105	017D
0106	017E
0107	017F
0108	0180
0109	0181
010A	0182
010B	0183
010C	0184
010D	0185
010E	0186
010F	0187
0110	0188
0111	0189
0112	018A
0113	018B
0114	018C
0115	018D
0116	018E
0117	018F
0118	0190
0119	0191
011A	0192
011B	0193
011C	0194
011D	0195
011E	0196
011F	0197
0120	0198
0121	0199
0122	019A
0123	019B
0124	019C
0125	019D
0126	019E
0127	019F
0128	01A0
0129	01A1
012A	-
012B	-
012C	01A2
012D	01A3
012E	01A4
012F	01A5
0130	01A6
0131	01A7
0132	01A8
0133	01A9
0134	01AA
0135	01AB
0136	01AC
0137	01AD
0138	01AE
0139	01AF
013A	01B0
013B	01B1
013C	01B2
013D	01B3
013E	01B4
013F	01B5
0140	01B6
0141	01B7
0142	01BC
0143	01B9
0144	01BA
0145	01BB
0146	01C0
0147	01BD
0148	01BE
0149	01BF
014A	01C0
014B	01C4
014C	01C5
014D	01C6
014E	01C7
014F	01C8
0150	01C9
0151	01CA
0152	01CB
0153	01CC
0154	01CD
0155	01CE
0156	01CF
0157	01D0
0158	01D1
0159	01D2
015A	01D3
015B	01D4
015C	01D5
015D	01D6
015E	01D7
015F	01D8
0160	01D9
0161	01DA
0162	01DB
0163	01DC
0164	01DD
0165	01DE
0166	01DF
0167	01E0
0168	01E1
0169	01E2
016A	01E3
016B	01E4
016C	01E5
016D	01E6
016E	01E7
016F	01E8
0170	01E9
0171	01EA
0172	01EB
0173	01EC
0174	01ED
0175	01EE
